,subject,relation,object,subject_entity,object_entity,sentence
142,Ways to Strength and Beauty,genre,silent film,Q541297,Q226730,Ways to Strength and Beauty  (German: Wege zu Kraft und SchÃ¶nheit) is a 1925 German silent film directed by Nicholas Kaufmann and Wilhelm Prager.
143,The Forgotten Pistolero,genre,Spaghetti Western,Q546446,Q212781,"""The Gunman of Hail Mary"") is a 1969 Italian Spaghetti Western film co-written and directed by Ferdinando Baldi."
144,Kill Them All and Come Back Alone,genre,Spaghetti Western,Q542918,Q212781,Kill Them All and Come Back Alone (Italian: Ammazzali tutti e torna solo) is a 1968 Italian Spaghetti Western film directed by Enzo G. Castellari.
145,The Taste of Money,genre,erotic thriller,Q487487,Q2439025,The Taste of Money (Korean:Â  ; RR:Â Donui Mat) is a 2012 South Korean erotic thriller film about a conglomerate-owning family.
146,Godzilla vs. Hedorah,genre,kaiju,Q200432,Q1065444,"Godzilla vs. Hedorah (, Gojira tai Hedora) is a 1971 Japanese kaiju film directed by Yoshimitsu Banno, written by Banno and Takeshi Kimura, and produced and distributed by Toho Studios."
147,The Matrix,genre,cyberpunk,Q83495,Q174526,The Matrix is an example of the cyberpunk subgenre of science fiction.
148,Cutie Honey,genre,magical girl,Q375248,Q752321,The first anime aired in 1973 and is considered a magical girl series in retrospect.
149,White Shadows in the South Seas,genre,silent film,Q535195,Q226730,White Shadows in the South Seas is a 1928 American silent film adventure romance directed by W.S.
150,5150 Elm's Way,genre,psychological thriller,Q242079,Q590103,"5150 Elm's Way (French: 5150, rue des ormes) is a 2009 French-language Canadian psychological thriller drama film directed by Ãric Tessier and starring RenÃ©-Daniel Dubois and Marc-AndrÃ© Grondin."
151,Die You Zombie Bastards!,genre,zombie comedy,Q535642,Q1747837,"is a 2005 American zombie comedy directed by Caleb Emerson, written by Emerson and Haig Demarjian, and starring Tim Gerstmar, Geoff Mosher, and Pippi Zornoza."
152,The Burning Soil,genre,silent film,Q552747,Q226730,The Burning Soil (German: Der brennende Acker) is a 1922 German silent film directed by F.W.
153,Ich klage an,genre,propaganda film,Q473778,Q1935609,Ich klage an (English: I Accuse) is a 1941 German pro-euthanasia propaganda film directed by Wolfgang Liebeneiner and produced by Ewald von Demandowsky.
154,King Kong Escapes,genre,kaiju,Q127430,Q1065444,"King Kong Escapes, released in Japan as King Kong's Counterattack (, Kingu Kongu no GyakushÅ«), is a 1967 Japanese-American science-fiction kaiju film featuring King Kong, co-produced by Toho and Rankin/Bass."
155,Marriage Is a Crazy Thing,genre,erotic film,Q258848,Q599558,"Marriage Is a Crazy Thing is a 2002 South Korean erotic film, and the second film directed by South Korean poet-turned-director Yoo Ha."
156,Godzilla vs. Mechagodzilla,genre,kaiju,Q251335,Q1065444,"Godzilla vs. Mechagodzilla (, Gojira tai Mekagojira) is a 1974 Japanese kaiju film directed by Jun Fukuda, with special effects by Teruyoshi Nakano."
157,Dirty Dancing,genre,dance film,Q253978,Q3072043,"Dirty Dancing is a 1987 American romantic drama dance film written by Eleanor Bergstein, produced by Linda Gottlieb, and directed by Emile Ardolino."
158,A Tale of Two Sisters,genre,psychological horror,Q255260,Q604725,"""Rose Flower, Red Lotus"") is a 2003 South Korean psychological horror drama film written and directed by Kim Jee-woon."
159,Attack of the Killer Tomatoes,genre,parody film,Q543365,Q622548,"Attack of the Killer Tomatoes is a 1978 American parody film produced by J. Stephen Peace and John DeBello, and directed by John DeBello based upon an original idea by Costa Dillon."
160,The Devil in Miss Jones,genre,pornographic film,Q248051,Q185529,"The Devil in Miss Jones is a 1973 pornographic film, written, directed and produced by Gerard Damiano and starring Georgina Spelvin and Harry Reems."
161,Basic Instinct,genre,erotic thriller,Q146673,Q2439025,Basic Instinct is a 1992 neo-noir erotic thriller film directed by Paul Verhoeven and written by Joe Eszterhas.
162,Zandalee,genre,erotic thriller,Q146605,Q2439025,"Zandalee is a 1991 American erotic thriller/romantic tragedy directed by Sam Pillsbury and starring Nicolas Cage, Judge Reinhold, Erika Anderson, Viveca Lindfors, Aaron Neville, Joe Pantoliano and Steve Buscemi."
163,Triumph of the Will,genre,propaganda film,Q156497,Q1935609,"Triumph of the Will (German: Triumph des Willens) is a 1935 Nazi propaganda film directed, produced, edited, and co-written by Leni Riefenstahl."
164,Animals Are Beautiful People,genre,nature documentary,Q493416,Q1760864,"Animals Are Beautiful People (also called Beautiful People) is a 1974 South African nature documentary written, produced, directed, filmed and edited by Jamie Uys, about the wildlife in Southern Africa, presented with comedic elements."
165,Airport 1975,genre,disaster film,Q392924,Q846544,Airport 1975 (also known as Airport '75) is a 1974 American air disaster film and the first sequel to the successful 1970 film Airport.
166,Where the Truth Lies,genre,erotic thriller,Q151848,Q2439025,"Where the Truth Lies is a 2005 British-Canadian erotic thriller film written and directed by Atom Egoyan and starring Kevin Bacon, Colin Firth, and Alison Lohman."
167,Airline Disaster,genre,disaster film,Q408780,Q846544,"Airline Disaster is an action disaster film directed by John J. Willis III and starring Meredith Baxter, Scott Valentine, Lindsey McKeon and Jay Beyers."
168,Pirates of the Caribbean: Dead Man's Chest,genre,swashbuckler film,Q161087,Q222639,Pirates of the Caribbean: Dead Man's Chest is a 2006 American fantasy swashbuckler film.
